S.No,Name,Address,Latitude,Longitude,Website,Type,Stream,Branch,Course,District,Code,Zone,State
1,A R J POLYTECHNIC COLLEGE,"Edayarnatham, Tamil Nadu 614001, India",10.6,79.45,www.arj.edu.in/,Self Finance,Polytechnic College,Polytechnic College,,Tiruvarur,TR,TN Central,Tamil Nadu
2,A V C POLYTECHNIC COLLEGE,"Mayiladuthurai - Akkur Rd, Mannampandal, Mayiladuthurai, Tamil Nadu 609305, India",11.1,79.69,www.avcpoly.net/,Self Finance,Polytechnic College,Polytechnic College,,Mayiladuthurai,MYD,TN Central,Tamil Nadu
3,A V S Engineering College,"Military Road, Near Sakthi Kailash Womens College, Ammapet, Salem(Dt.),Pin 636003",11.7,78.18,www.avsenggcollege.ac.in,Self Finance,Engineering,Civil,Civil Engineering,Salem,SA,TN West,Tamil Nadu
4,A V S Engineering College,"Military Road, Near Sakthi Kailash Womens College, Ammapet, Salem(Dt.),Pin 636003",11.7,78.18,www.avsenggcollege.ac.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Salem,SA,TN West,Tamil Nadu
5,A V S Engineering College,"Military Road, Near Sakthi Kailash Womens College, Ammapet, Salem(Dt.),Pin 636003",11.7,78.18,www.avsenggcollege.ac.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Salem,SA,TN West,Tamil Nadu
6,A V S Engineering College,"Military Road, Near Sakthi Kailash Womens College, Ammapet, Salem(Dt.),Pin 636003",11.7,78.18,www.avsenggcollege.ac.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Salem,SA,TN West,Tamil Nadu
7,A V S Engineering College,"Military Road, Near Sakthi Kailash Womens College, Ammapet, Salem(Dt.),Pin 636003",11.7,78.18,www.avsenggcollege.ac.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Salem,SA,TN West,Tamil Nadu
8,A.Dr.VIMAL COLLEGE OF NURSING,"NH 234, Vellore Arni Highway Dharmavaram Road, Nelvoy,Pennathur,, Vellore, Tamil Nadu 632011, India",12.8,79.13,http://stjohnsinstitutions.com/nursing.php,Self Finance,Medical,Allied Health Sciences,B.Sc. Nursing,Vellore,VE,TN North,Tamil Nadu
9,A.G. Arts & Science College For Women,South Avinashipalayam.,10,78.77,,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Tiruppur,TP,TN West,Tamil Nadu
10,A.J.K.College of Arts And Science,"Palakkad Main Road, Navakkarai, Coimbatore - 641 105. Ph: 0422-2363400, 3225252",10.9,76.87,http://www.ajkcas.com,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Coimbatore,CO,TN West,Tamil Nadu
11,A.K.T MEMORIAL POLYTECHNIC COLLEGE,"AKT Nagar, AKT Memorial College Rd, Kallakurichi, Tamil Nadu 606202, India",11.7,78.98,http://www.aktpolytechnic.com/,Self Finance,Polytechnic College,Polytechnic College,,Kallakurichi,KL,TN Central,Tamil Nadu
12,A.K.T. Memorial College of Engineering and Technology,"A.K.T Nagar, Neelamangalam, Villupuram(Dt.),Pin 606202",11.7,78.98,www.aktengg.in,Self Finance,Engineering,Civil,Civil Engineering,Viluppuram,VL,TN Central,Tamil Nadu
13,A.K.T. Memorial College of Engineering and Technology,"A.K.T Nagar, Neelamangalam, Villupuram(Dt.),Pin 606202",11.7,78.98,www.aktengg.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Viluppuram,VL,TN Central,Tamil Nadu
14,A.K.T. Memorial College of Engineering and Technology,"A.K.T Nagar, Neelamangalam, Villupuram(Dt.),Pin 606202",11.7,78.98,www.aktengg.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Viluppuram,VL,TN Central,Tamil Nadu
15,A.K.T. Memorial College of Engineering and Technology,"A.K.T Nagar, Neelamangalam, Villupuram(Dt.),Pin 606202",11.7,78.98,www.aktengg.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Viluppuram,VL,TN Central,Tamil Nadu
16,A.K.T. Memorial College of Engineering and Technology,"A.K.T Nagar, Neelamangalam, Villupuram(Dt.),Pin 606202",11.7,78.98,www.aktengg.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Viluppuram,VL,TN Central,Tamil Nadu
17,A.R. College of Engineering and Technology,"A R Nagar, Kadayam-Alangulam Road, Thirunelveli(Dt.),Pin 627423",8.83,77.4,www.arcet.org,Self Finance,Engineering,Civil,Civil Engineering,Tirunelveli,TI,TN South,Tamil Nadu
18,A.R. College of Engineering and Technology,"A R Nagar, Kadayam-Alangulam Road, Thirunelveli(Dt.),Pin 627423",8.83,77.4,www.arcet.org,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Tirunelveli,TI,TN South,Tamil Nadu
19,A.R. College of Engineering and Technology,"A R Nagar, Kadayam-Alangulam Road, Thirunelveli(Dt.),Pin 627423",8.83,77.4,www.arcet.org,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Tirunelveli,TI,TN South,Tamil Nadu
20,A.R. College of Engineering and Technology,"A R Nagar, Kadayam-Alangulam Road, Thirunelveli(Dt.),Pin 627423",8.83,77.4,www.arcet.org,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Tirunelveli,TI,TN South,Tamil Nadu
21,A.R. College of Engineering and Technology,"A R Nagar, Kadayam-Alangulam Road, Thirunelveli(Dt.),Pin 627423",8.83,77.4,www.arcet.org,Self Finance,Engineering,Mechanical,Automobile Engineering,Tirunelveli,TI,TN South,Tamil Nadu
22,A.R. College of Engineering and Technology,"A R Nagar, Kadayam-Alangulam Road, Thirunelveli(Dt.),Pin 627423",8.83,77.4,www.arcet.org,Self Finance,Engineering,Mechanical,Mechanical Engineering,Tirunelveli,TI,TN South,Tamil Nadu
23,A.R. College of Engineering and Technology,"A R Nagar, Kadayam-Alangulam Road, Thirunelveli(Dt.),Pin 627423",8.83,77.4,www.arcet.org,Self Finance,Engineering,Mechanical,Mechatronics,Tirunelveli,TI,TN South,Tamil Nadu
24,A.R. Engineering College,"NH 45C, Kappiyampuliyur, Vadakuchipalayam, Villupuram(Dt.),Pin 605601",12,79.54,www.arenggc.com,Self Finance,Engineering,Civil,Civil Engineering,Viluppuram,VL,TN Central,Tamil Nadu
25,A.R. Engineering College,"NH 45C, Kappiyampuliyur, Vadakuchipalayam, Villupuram(Dt.),Pin 605601",12,79.54,www.arenggc.com,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Viluppuram,VL,TN Central,Tamil Nadu
26,A.R. Engineering College,"NH 45C, Kappiyampuliyur, Vadakuchipalayam, Villupuram(Dt.),Pin 605601",12,79.54,www.arenggc.com,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Viluppuram,VL,TN Central,Tamil Nadu
27,A.R. Engineering College,"NH 45C, Kappiyampuliyur, Vadakuchipalayam, Villupuram(Dt.),Pin 605601",12,79.54,www.arenggc.com,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Viluppuram,VL,TN Central,Tamil Nadu
28,A.R. Engineering College,"NH 45C, Kappiyampuliyur, Vadakuchipalayam, Villupuram(Dt.),Pin 605601",12,79.54,www.arenggc.com,Self Finance,Engineering,Mechanical,Mechanical Engineering,Viluppuram,VL,TN Central,Tamil Nadu
29,A.R.J College of Engineering and Technology,"Thirumakkottai Main Road, Edayarnatham,Mannargudi, Thiruvarur(Dt.),Pin - 614001",10.7,79.44,www.arj.edu.in,Self Finance,Engineering,Civil,Civil Engineering,Tiruvarur,TR,TN Central,Tamil Nadu
30,A.R.J College of Engineering and Technology,"Thirumakkottai Main Road, Edayarnatham,Mannargudi, Thiruvarur(Dt.),Pin - 614001",10.7,79.44,www.arj.edu.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Tiruvarur,TR,TN Central,Tamil Nadu
31,A.R.J College of Engineering and Technology,"Thirumakkottai Main Road, Edayarnatham,Mannargudi, Thiruvarur(Dt.),Pin - 614001",10.7,79.44,www.arj.edu.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Tiruvarur,TR,TN Central,Tamil Nadu
32,A.R.J College of Engineering and Technology,"Thirumakkottai Main Road, Edayarnatham,Mannargudi, Thiruvarur(Dt.),Pin - 614001",10.7,79.44,www.arj.edu.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Tiruvarur,TR,TN Central,Tamil Nadu
33,A.R.J College of Engineering and Technology,"Thirumakkottai Main Road, Edayarnatham,Mannargudi, Thiruvarur(Dt.),Pin - 614001",10.7,79.44,www.arj.edu.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Tiruvarur,TR,TN Central,Tamil Nadu
34,A.S.L. Pauls College of Engineering and Technology,"Pauls Nagar, Othakalmandapam (via), Coimbatore(Dt.),Pin 641032",10.8,77.01,www.aslpauls.in,Self Finance,Engineering,Civil,Civil Engineering,Coimbatore,CO,TN West,Tamil Nadu
35,A.S.L. Pauls College of Engineering and Technology,"Pauls Nagar, Othakalmandapam (via), Coimbatore(Dt.),Pin 641032",10.8,77.01,www.aslpauls.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Coimbatore,CO,TN West,Tamil Nadu
36,A.S.L. Pauls College of Engineering and Technology,"Pauls Nagar, Othakalmandapam (via), Coimbatore(Dt.),Pin 641032",10.8,77.01,www.aslpauls.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Coimbatore,CO,TN West,Tamil Nadu
37,A.S.L. Pauls College of Engineering and Technology,"Pauls Nagar, Othakalmandapam (via), Coimbatore(Dt.),Pin 641032",10.8,77.01,www.aslpauls.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Coimbatore,CO,TN West,Tamil Nadu
38,A.S.L. Pauls College of Engineering and Technology,"Pauls Nagar, Othakalmandapam (via), Coimbatore(Dt.),Pin 641032",10.8,77.01,www.aslpauls.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Coimbatore,CO,TN West,Tamil Nadu
39,A.V.C College of Engineering,"Mannampandal, Mayiladuthurai(Tk.), Nagapattinam(Dt.),Pin 609305",11.1,79.69,www.avccengg.net,Self Finance,Engineering,Civil,Civil Engineering,Nagapattinam,NG,TN Central,Tamil Nadu
40,A.V.C College of Engineering,"Mannampandal, Mayiladuthurai(Tk.), Nagapattinam(Dt.),Pin 609305",11.1,79.69,www.avccengg.net,Self Finance,Engineering,Computer Science,Information Technology,Nagapattinam,NG,TN Central,Tamil Nadu
41,A.V.C College of Engineering,"Mannampandal, Mayiladuthurai(Tk.), Nagapattinam(Dt.),Pin 609305",11.1,79.69,www.avccengg.net,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Nagapattinam,NG,TN Central,Tamil Nadu
42,A.V.C College of Engineering,"Mannampandal, Mayiladuthurai(Tk.), Nagapattinam(Dt.),Pin 609305",11.1,79.69,www.avccengg.net,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Nagapattinam,NG,TN Central,Tamil Nadu
43,A.V.C College of Engineering,"Mannampandal, Mayiladuthurai(Tk.), Nagapattinam(Dt.),Pin 609305",11.1,79.69,www.avccengg.net,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Nagapattinam,NG,TN Central,Tamil Nadu
